DATE,DEXUSUK
2013-05-03,1.5539200000000000
2013-05-10,1.5481000000000000
2013-05-17,1.5244400000000000
2013-05-24,1.5135400000000000
2013-05-31,1.5143500000000000
2013-06-07,1.5440800000000000
2013-06-14,1.5644800000000000
2013-06-21,1.5566600000000000
2013-06-28,1.5319800000000000
2013-07-05,1.5148000000000000
2013-07-12,1.4987800000000000
2013-07-19,1.5169400000000000
2013-07-26,1.5357600000000000
2013-08-02,1.5239600000000000
2013-08-09,1.5458000000000000
2013-08-16,1.5530200000000000
2013-08-23,1.5635800000000000
2013-08-30,1.5514400000000000
2013-09-06,1.5603250000000000
2013-09-13,1.5788400000000000
2013-09-20,1.5971400000000000
2013-09-27,1.6059800000000000
2013-10-04,1.6169800000000000
2013-10-11,1.6006800000000000
2013-10-18,1.6057000000000000
2013-10-25,1.6177000000000000
2013-11-01,1.6051600000000000
2013-11-08,1.6027600000000000
2013-11-15,1.6033250000000000
2013-11-22,1.6147200000000000
2013-11-29,1.6243250000000000
2013-12-06,1.6357600000000000
2013-12-13,1.6367200000000000
2013-12-20,1.6338000000000000
2013-12-27,1.6410750000000000
2014-01-03,1.6490250000000000
2014-01-10,1.6444600000000000
2014-01-17,1.6393600000000000
2014-01-24,1.6535750000000000
2014-01-31,1.6533400000000000
2014-02-07,1.6331000000000000
2014-02-14,1.6568800000000000
2014-02-21,1.6671000000000000
2014-02-28,1.6685600000000000
2014-03-07,1.6714800000000000
2014-03-14,1.6634600000000000
2014-03-21,1.6571400000000000
2014-03-28,1.6565600000000000
2014-04-04,1.6625000000000000
2014-04-11,1.6725400000000000
2014-04-18,1.6772200000000000
2014-04-25,1.6800000000000000
2014-05-02,1.6857800000000000
2014-05-09,1.6920600000000000
2014-05-16,1.6822200000000000
2014-05-23,1.6843800000000000
2014-05-30,1.6748000000000000
2014-06-06,1.6769200000000000
2014-06-13,1.6830400000000000
2014-06-20,1.6992800000000000
2014-06-27,1.7000200000000000
2014-07-04,1.7142250000000000
2014-07-11,1.7123000000000000
2014-07-18,1.7106400000000000
2014-07-25,1.7022800000000000
2014-08-01,1.6910800000000000
2014-08-08,1.6835000000000000
2014-08-15,1.6733800000000000
2014-08-22,1.6627200000000000
2014-08-29,1.6578400000000000
2014-09-05,1.6403500000000000
2014-09-12,1.6166200000000000
2014-09-19,1.6309600000000000
2014-09-26,1.6324200000000000
2014-10-03,1.6160000000000000
2014-10-10,1.6068200000000000
2014-10-17,1.6010000000000000
2014-10-24,1.6095200000000000
